Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,53158.85156,53158.85156,53158.85156,53158.85156,53158.85156,0
2021-07-16,53140.05859,53140.05859,53140.05859,53140.05859,53140.05859,0
2021-07-19,52553.40234,52553.40234,52553.40234,52553.40234,52553.40234,0
2021-07-20,52198.50781,52198.50781,52198.50781,52198.50781,52198.50781,0
2021-07-22,52837.21094,52837.21094,52837.21094,52837.21094,52837.21094,0
2021-07-23,52975.80078,52975.80078,52975.80078,52975.80078,52975.80078,0
2021-07-26,null,null,null,null,null,null
2021-07-27,52578.76172,52578.76172,52578.76172,52578.76172,52578.76172,0
2021-07-28,52443.70703,52443.70703,52443.70703,52443.70703,52443.70703,0
2021-07-29,52653.07422,52653.07422,52653.07422,52653.07422,52653.07422,0
2021-07-30,52586.83984,52586.83984,52586.83984,52586.83984,52586.83984,0
2021-08-02,52950.62891,52950.62891,52950.62891,52950.62891,52950.62891,0
2021-08-03,null,null,null,null,null,null
2021-08-04,54369.76953,54369.76953,54369.76953,54369.76953,54369.76953,0
2021-08-05,54492.83594,54492.83594,54492.83594,54492.83594,54492.83594,0
2021-08-06,54277.72266,54277.72266,54277.72266,54277.72266,54277.72266,0
2021-08-09,54402.84766,54402.84766,54402.84766,54402.84766,54402.84766,0
2021-08-10,54554.66016,54554.66016,54554.66016,54554.66016,54554.66016,0
2021-08-11,54525.92969,54525.92969,54525.92969,54525.92969,54525.92969,0
2021-08-12,54843.97656,54843.97656,54843.97656,54843.97656,54843.97656,0
2021-08-13,null,null,null,null,null,null
2021-08-16,55582.57422,55582.57422,55582.57422,55582.57422,55582.57422,0
2021-08-17,55792.26953,55792.26953,55792.26953,55792.26953,55792.26953,0
2021-08-18,55629.49219,55629.49219,55629.49219,55629.49219,55629.49219,0
2021-08-20,55329.32031,55329.32031,55329.32031,55329.32031,55329.32031,0
2021-08-23,55555.79297,55555.79297,55555.79297,55555.79297,55555.79297,0
2021-08-24,55958.97656,55958.97656,55958.97656,55958.97656,55958.97656,0
2021-08-25,55944.21484,55944.21484,55944.21484,55944.21484,55944.21484,0
2021-08-26,55949.10156,55949.10156,55949.10156,55949.10156,55949.10156,0
2021-08-27,56124.71875,56124.71875,56124.71875,56124.71875,56124.71875,0
2021-08-30,56889.76172,56889.76172,56889.76172,56889.76172,56889.76172,0
2021-08-31,57552.38672,57552.38672,57552.38672,57552.38672,57552.38672,0
2021-09-01,57338.21094,57338.21094,57338.21094,57338.21094,57338.21094,0
2021-09-02,57852.54297,57852.54297,57852.54297,57852.54297,57852.54297,0
2021-09-03,58129.94531,58129.94531,58129.94531,58129.94531,58129.94531,0
2021-09-06,null,null,null,null,null,null
2021-09-07,58279.47656,58279.47656,58279.47656,58279.47656,58279.47656,0
2021-09-08,58250.26172,58250.26172,58250.26172,58250.26172,58250.26172,0
2021-09-09,58305.07422,58305.07422,58305.07422,58305.07422,58305.07422,0
2021-09-13,58177.75781,58177.75781,58177.75781,58177.75781,58177.75781,0
2021-09-14,58247.08594,58247.08594,58247.08594,58247.08594,58247.08594,0
2021-09-15,58723.20313,58723.20313,58723.20313,58723.20313,58723.20313,0
2021-09-16,59141.16406,59141.16406,59141.16406,59141.16406,59141.16406,0
2021-09-17,59015.89453,59015.89453,59015.89453,59015.89453,59015.89453,0
2021-09-20,58490.92969,58490.92969,58490.92969,58490.92969,58490.92969,0
2021-09-21,59005.27344,59005.27344,59005.27344,59005.27344,59005.27344,0
2021-09-22,58927.33203,58927.33203,58927.33203,58927.33203,58927.33203,0
2021-09-23,59885.36328,59885.36328,59885.36328,59885.36328,59885.36328,0
2021-09-24,60048.46875,60048.46875,60048.46875,60048.46875,60048.46875,0
2021-09-27,60077.87891,60077.87891,60077.87891,60077.87891,60077.87891,0
2021-09-28,59667.59375,59667.59375,59667.59375,59667.59375,59667.59375,0
2021-09-29,59413.26563,59413.26563,59413.26563,59413.26563,59413.26563,0
2021-09-30,59126.36328,59126.36328,59126.36328,59126.36328,59126.36328,0
2021-10-01,58765.58594,58765.58594,58765.58594,58765.58594,58765.58594,0
2021-10-04,59299.32422,59299.32422,59299.32422,59299.32422,59299.32422,0
2021-10-05,59744.87891,59744.87891,59744.87891,59744.87891,59744.87891,0
2021-10-06,59189.72656,59189.72656,59189.72656,59189.72656,59189.72656,0
